Stock,Return
1,1327.526756
2,57.43764183
3,238.6121738
4,166.5056195
5,71.63894611
6,304.8303745
7,939.4403799
8,99.47084375
9,147.2932394
10,169.3470148
11,318.6215022
12,531.8163261
13,72.13757371
14,242.7416692
15,270.4745826
16,107.7906047
17,461.7273348
18,564.2512077
19,281.3377952
20,172.4268602
21,1922.352857
22,214.2395403
23,168.2271235
24,1108.459215
25,97.12800854
26,611.7722822
27,170.4875155
28,207.7897181
29,438.6997148
30,234.9522693
31,1070.814964
32,216.960417
33,211.0539722
34,509.8380091
35,868.1289785
36,1847.208122
37,638.0100653
38,280.4533317
39,1026.467321
40,-63.36291821
41,187.9968615
42,176.318414
43,214.9721653
44,139.1604063
45,1586.988832
46,-20.16538664
47,176.0161502
48,166.7517703
49,2112.030003
50,41.54384236
51,314.8028711
52,200.1379922
53,-51.93474897
54,18.37045131
55,180.8720813
56,5329.451548
57,103.2607694
58,3226.126725
59,336.6587897
60,173.3213875
61,45.5298941
62,1376.595275
63,14.73439896
64,123.420821
65,188.4693205
66,346.8577086
67,136.5799357
68,449.0290938
69,120.9808483
70,362.9675973
71,-55.80634908
72,3.814420127
73,379.4520548
74,35.58959379
75,122.9597834
76,72.99660905
77,276.8485452
78,1133.633725
79,684.7439992
80,1110.894355
81,310.840548
82,-1.781680319
83,154.3334507
84,606.429072
85,297.9727055
86,982.4907534
87,2056.426228
88,71.48684536
89,74.69779765
90,1022.873401
91,333.9788045
92,305.3389414
93,250.836354
94,394.6303904
95,128.843888
96,36.33421505
97,207.213836
98,122.8336834
99,152.0388195
100,667.4557016
101,2239.701606
102,72.91082782
103,899.2939121
104,151.6065287
105,125.3845761